Date,value,Model Code,Model check code
1987-04-01,18.04,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1987-05-01,19.19,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1987-06-01,19.61,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1987-07-01,20.46,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1987-08-01,20.66,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1987-09-01,18.63,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1987-10-01,18.94,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1987-11-01,18.84,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1987-12-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-01-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-02-01,16.85,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-03-01,15.81,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-04-01,16.04,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-05-01,17.15,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-06-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-07-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-08-01,NaN,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-09-01,14.78,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-10-01,13.26,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-11-01,14.15,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1988-12-01,15.11,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1989-01-01,17.36,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1989-02-01,18.0,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
1989-03-01,17.94,model://EIA_LCICO_CS/US.OIL.EIA.IUK4990008_M/PRICE/ALL,IUK4990008.M
